Tools,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473118,1478.493,1,OK,72.2177312,-47.3767913,138.1386353,22.681,-92.755,-14.14,0.1105656,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473126,1478.518,1,OK,72.5968706,-47.1510776,137.8434349,22.683,-92.678,-14.189,0.1170506,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473134,1478.543,1,OK,72.7547102,-47.4606356,137.646655,22.614,-92.474,-14.435,0.0671477,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473142,1478.568,1,OK,72.4740307,-47.7485217,138.1390912,22.405,-91.477,-14.306,0.0270434,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473150,1478.593,1,OK,72.6783444,-47.2011296,139.2014949,21.511,-90.244,-14.449,0.1496591,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473158,1478.618,1,OK,72.9120314,-47.4571294,139.1136349,21.085,-89.44,-15.14,0.0639345,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473166,1478.643,1,OK,73.1605302,-47.3846759,138.9479264,21.044,-89.011,-15.222,0.0701848,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473174,1478.668,1,OK,73.2491433,-47.3309657,138.8566546,20.949,-88.384,-15.258,0.0662143,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473182,1478.693,1,OK,73.2287243,-47.2939205,139.075905,20.61,-87.759,-15.612,0.061556,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473190,1478.718,1,OK,72.9505463,-47.3089096,139.4748262,20.311,-87.189,-15.949,0.0538113,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473198,1478.743,1,OK,73.0965862,-47.1906065,139.4519489,20.169,-87.177,-16.095,0.0509963,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473206,1478.768,1,OK,73.0813503,-47.2206785,139.5693668,20.149,-87.035,-16.065,0.04599,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473214,1478.793,1,OK,73.2699106,-47.384409,139.6386054,20.123,-86.556,-15.995,0.0358879,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473222,1478.818,1,OK,73.6665509,-47.4521132,139.6619519,20.037,-85.92,-15.752,0.0399947,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473230,1478.843,1,OK,73.9656983,-47.3831727,139.7348352,19.828,-85.449,-15.476,0.0686647,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473238,1478.868,1,OK,74.2059579,-47.5374827,139.7536357,19.748,-84.887,-15.402,0.0559071,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473246,1478.893,1,OK,74.5711556,-47.5080586,139.7835872,19.64,-84.317,-14.952,0.0757746,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473254,1478.918,1,OK,74.5654564,-47.9411189,139.7697512,19.773,-83.756,-14.927,0.0182949,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473262,1478.943,1,OK,75.3432856,-47.8895215,139.4922371,20.061,-83.125,-14.277,0.0389786,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473270,1478.968,1,OK,75.8544443,-48.0704106,139.3744979,20.359,-82.299,-13.994,0.0346748,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473278,1478.993,1,OK,75.6901818,-48.1567296,139.6726643,20.46,-82.139,-13.988,0.0342846,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473286,1479.018,1,OK,75.5256364,-48.2071567,140.0024195,20.482,-82.134,-14.011,0.0357292,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473294,1479.043,1,OK,75.2253643,-48.3451608,140.5222667,20.461,-82.1,-13.989,0.0377819,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473302,1479.068,1,OK,74.9863078,-48.487515,140.9349584,20.457,-82.063,-14.002,0.0381073,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473310,1479.093,1,OK,74.9879997,-48.5521786,141.0578442,20.453,-82.051,-14.009,0.0369415,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473318,1479.118,1,OK,75.0927689,-48.5795719,141.0366151,20.464,-82.049,-14.026,0.0398572,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473326,1479.143,1,OK,75.1160955,-48.6210537,140.9930366,20.489,-82.056,-14.051,0.0360338,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473334,1479.168,1,OK,75.8741026,-48.2477864,140.4077646,20.183,-81.865,-14.302,0.0608858,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473342,1479.193,1,OK,75.7954143,-48.3574382,140.5290285,20.238,-81.851,-14.277,0.0587914,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473350,1479.218,1,OK,75.749674,-48.4595613,140.6816578,20.247,-81.83,-14.258,0.059398,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473358,1479.243,1,OK,75.7015329,-48.5938974,140.7957855,20.274,-81.844,-14.233,0.0561596,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473366,1479.268,1,OK,75.2815517,-49.1379624,141.1177087,20.496,-82.067,-14.032,0.0293175,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473374,1479.293,1,OK,75.4536141,-49.1222696,141.0342241,20.526,-82.07,-14.064,0.0323392,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473382,1479.318,1,OK,75.6529746,-49.0597138,140.9524546,20.508,-82.073,-14.049,0.0342267,0
